Model Configuration,Balancing,Split,Accuracy,Precision,Recall,F1,Macro_Accuracy,Macro_Precision,Macro_Recall,Macro_F1,MRR,MAP,NDCG
7. FiLM BERT (RST Modulation),Pairwise,train,0.8035636679704476,0.0,0.0,0.0,0.7563373941692528,0.0,0.0,0.0,0.6318952802359882,0.6318952802359882,0.724399540033641
7. FiLM BERT (RST Modulation),Pairwise,validation,0.7729257641921398,0.21052631578947367,0.0975609756097561,0.13333333333333333,0.742867317867318,0.06837606837606837,0.08974358974358974,0.06837606837606837,0.5756715506715506,0.5729242979242978,0.6798731787809024
7. FiLM BERT (RST Modulation),Cluster,train,0.47327249022164275,0.24934036939313983,0.8362831858407079,0.38414634146341464,0.4673284679921848,0.28530604719764013,0.8362831858407079,0.40655639837055774,0.5716559558926815,0.5716559558926815,0.677876704715169
7. FiLM BERT (RST Modulation),Cluster,validation,0.5982532751091703,0.23711340206185566,0.5609756097560976,0.3333333333333333,0.5483312983312983,0.18717948717948713,0.5897435897435898,0.27594627594627597,0.46353276353276346,0.4636345136345136,0.5940455645792304
7. FiLM BERT (RST Modulation),RST-Neighborhood,train,0.4276401564537158,0.18636693255982595,0.5685840707964602,0.2807209175314036,0.4469231665581223,0.19605321546693227,0.5685840707964602,0.26933031324624246,0.5086300744486585,0.5086300744486585,0.6282149466533478
7. FiLM BERT (RST Modulation),RST-Neighborhood,validation,0.32751091703056767,0.15757575757575756,0.6341463414634146,0.2524271844660194,0.3823768823768824,0.15227920227920227,0.6153846153846154,0.22584822584822584,0.4643467643467643,0.45501628001628003,0.5909120595537011
7. FiLM BERT (RST Modulation),DSNB,train,0.6297262059973925,0.294238683127572,0.6327433628318584,0.40168539325842695,0.6207532818705385,0.32009587020648966,0.6327433628318584,0.40383480825958695,0.5848249403006041,0.5848249403006041,0.6876256467293944
7. FiLM BERT (RST Modulation),DSNB,validation,0.6943231441048034,0.24561403508771928,0.34146341463414637,0.2857142857142857,0.6458282458282457,0.16666666666666666,0.358974358974359,0.22051282051282056,0.49070004070004064,0.4860704110704111,0.6126080945805341
8. Concat BERT (Context Features),None,train,0.803129074315515,0.4,0.004424778761061947,0.0087527352297593,0.7559686626058307,0.004424778761061947,0.004424778761061947,0.004424778761061947,0.508340436603711,0.508340436603711,0.6276132646307492
8. Concat BERT (Context Features),None,validation,0.8209606986899564,0.0,0.0,0.0,0.7781237281237282,0.0,0.0,0.0,0.4338217338217338,0.43399979649979653,0.5711918169757427
8. Concat BERT (Context Features),Pairwise,train,0.2768361581920904,0.21225071225071226,0.9889380530973452,0.3494917904612979,0.30862201343396034,0.25828329119258325,0.9889380530973452,0.390393505216514,0.6465391908975979,0.6465391908975979,0.7351364421846371
8. Concat BERT (Context Features),Pairwise,validation,0.2096069868995633,0.18468468468468469,1.0,0.311787072243346,0.2525030525030525,0.23006715506715514,1.0,0.35785510785510793,0.5686202686202686,0.57014652014652,0.6767317960573714
8. Concat BERT (Context Features),Cluster,train,0.31855714906562366,0.21266735324407826,0.9137168141592921,0.34502923976608185,0.3484814963797264,0.2578083298216042,0.9137168141592921,0.38521693400011986,0.5716868431470202,0.5716868431470202,0.6763763028674786
8. Concat BERT (Context Features),Cluster,validation,0.2794759825327511,0.18686868686868688,0.9024390243902439,0.30962343096234307,0.31770451770451774,0.22884615384615387,0.8974358974358975,0.35071225071225076,0.5710012210012209,0.5720695970695969,0.6758700621629244
8. Concat BERT (Context Features),RST-Neighborhood,train,0.40330291177748806,0.21521335807050093,0.7699115044247787,0.33639439342677624,0.4283857059852635,0.2620461090040736,0.7699115044247787,0.3681837336704593,0.5483969754434356,0.5483969754434356,0.6590628348591522
